var,val
w1,0.3494413537135807
w2,0.077613985728380713
w3,0.38931764908355038
w4,1.9566750908196673
w5,0.25167167680106495
w6,0.36743947070726629
w7,0.10472192797585075
w8,-0.012349407585809271
w9,-0.029903151364595249
w10,0.05745205582064232
w11,0.05906705665479705
w12,-0.09835874387946536
w13,-0.038449751374868876
w14,-0.078135327200381355
w15,-0.067747859540242636
w16,-0.1911332271076297
w17,-0.19358806909191001
w18,-0.072520698409489756
w19,-0.11411849316535548
w20,-0.13808598808735606
w21,-0.22073390320810712
w22,-0.16466770075293446
w23,0.033567900794926865
w24,0.042002960065067894
w25,0.2899910514408065
w26,0.19790865243555114
w27,-0.15507250651535795
w28,0.25492561767208699
w29,-0.21391662553376581
w30,0.21359337866423336
w31,0.0047997411690887106
w32,-0.11207274867792802
w33,0.040864504402771944
w34,0.48610196353088903
w35,-0.040315135859344715
w36,-0.38277276873392396
w37,-0.080615557279538994
w38,-0.036667499772205576
w39,-0.0097848682370863631
w40,-0.020675862415804637
w41,0.015748096495980482
w42,0.24626696520467439
w43,-0.17707882517180124
w44,-0.14257804141937708
w45,-0.075019671713987782
w46,-0.25911511070149335
w47,-0.16401026953747416
w48,0.16218392707460946
w49,0.073883460752158139
w50,0.078141044887102024
w51,0.1040918817759702
w52,-0.031349938678714329
w53,-0.069472139107304348
w54,0.17144390848374996
w55,0.015710196573507577
w56,-0.095056156523316657
w57,-0.38125183863850742
w58,-0.039469393400527124
w59,0.3546059394115989
w60,-0.042020720287443657
w61,0.030721339825638013
w62,-0.028514838496198409
w63,-0.027975030492684239
w64,0.027570511967924302
w65,0.032653176655042401
w66,0.025101947524585534
w67,-0.029869628636745443
w68,-0.086272967203095838
w69,0.018895210598312801
w70,-0.081954142697965637
w71,-0.0086710753483970129
w72,-0.028975258728430597
w73,0.019444531815464419
w74,0.019311276676208008
w75,0.027001805828965976
w76,-0.026442427748897671
w77,-0.0091381791999857777
w78,-0.0016069555457150959
w79,-0.010678039658573528
w80,-0.023684070606606218
w81,-0.001127806829918455
w82,0.00049064616015832515
w83,-0.018865042280101416
w84,0.0030189252406057059
w85,0.014276910688091173
w86,0.036143198179843163
w87,-0.00077529566509215611
w88,0.020171530977650724
w89,-0.014818509177318842
w90,-0.070052789282309791
w91,-0.023643174720234413
w92,-0.069338423803674012
w93,-0.02504097802633027
w94,0.036156063355928802
w95,1.1551396233634985e-05
w96,0.00051115904917532328
w97,-0.015552116531094501
w98,0.00102419455579555
w99,-0.050600992799083755
w100,0.0041485639925381308
w101,-0.014785270791230163
w102,-0.0089881561163958675
w103,0.070936722915683828
w104,-0.042857168336929867
w105,0.016818331270626603
w106,-0.01570672875201503
b,-2.0726791182522413
